number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
39,0.5578550761503889,2024-04-20 01:36:55.603225,2024-04-20 01:37:20.932509,0 days 00:00:25.329284,128,64,0.00019424655244710927,136,3,COMPLETE
40,0.5561543104269646,2024-04-20 01:37:20.932857,2024-04-20 01:37:34.515364,0 days 00:00:13.582507,128,128,0.0003393142107075467,50,2,COMPLETE
41,0.5682841161623695,2024-04-20 01:37:34.515731,2024-04-20 01:37:51.622351,0 days 00:00:17.106620,128,128,0.0003756977796781187,63,2,PRUNED
42,0.572777485965893,2024-04-20 01:37:51.623270,2024-04-20 01:38:14.744337,0 days 00:00:23.121067,128,128,0.00015479892631129472,85,2,PRUNED
43,0.6259454487570074,2024-04-20 01:38:14.744583,2024-04-20 01:38:30.432091,0 days 00:00:15.687508,128,128,0.008625602857342717,60,2,PRUNED
44,0.6787276454319229,2024-04-20 01:38:30.432378,2024-04-20 01:38:53.857976,0 days 00:00:23.425598,32,128,0.04140787300633101,53,2,PRUNED
45,0.677261337381325,2024-04-20 01:38:53.858787,2024-04-20 01:39:22.393035,0 days 00:00:28.534248,128,128,0.0002917109319766173,106,2,PRUNED
46,0.5607226146570105,2024-04-20 01:39:22.393301,2024-04-20 01:39:37.790420,0 days 00:00:15.397119,64,32,0.0023741022621196193,84,3,COMPLETE
47,0.6258099564653359,2024-04-20 01:39:37.790724,2024-04-20 01:40:54.074336,0 days 00:01:16.283612,128,128,4.992115594473445e-05,289,2,PRUNED
48,0.6965108070547217,2024-04-20 01:40:54.074983,2024-04-20 01:41:23.352377,0 days 00:00:29.277394,128,64,0.011912594582208032,232,2,PRUNED
49,0.7107447585522735,2024-04-20 01:41:23.352619,2024-04-20 01:41:51.280851,0 days 00:00:27.928232,32,128,0.0008525969963702638,124,1,PRUNED
50,0.5810680285194852,2024-04-20 01:41:51.281088,2024-04-20 01:42:26.703649,0 days 00:00:35.422561,64,64,0.00010669615613790729,193,2,PRUNED
51,0.5642907134152406,2024-04-20 01:42:26.703905,2024-04-20 01:42:36.304277,0 days 00:00:09.600372,128,64,0.0016713500867459462,68,2,COMPLETE
52,0.5619424821919952,2024-04-20 01:42:36.304903,2024-04-20 01:42:45.633865,0 days 00:00:09.328962,128,64,0.0007009474343853056,75,2,COMPLETE
53,0.5793940495576291,2024-04-20 01:42:45.634184,2024-04-20 01:42:53.551249,0 days 00:00:07.917065,128,64,0.004630257042354449,60,2,PRUNED
54,1.1624085086465672,2024-04-20 01:42:53.551713,2024-04-20 01:43:00.639082,0 days 00:00:07.087369,128,64,0.0002035173078023423,51,2,PRUNED
55,0.5609848552784383,2024-04-20 01:43:00.639942,2024-04-20 01:43:11.613095,0 days 00:00:10.973153,128,64,0.0006336516961331446,78,2,COMPLETE
56,0.5646500411807306,2024-04-20 01:43:11.613432,2024-04-20 01:43:22.737546,0 days 00:00:11.124114,128,32,0.0004201463200817889,92,3,PRUNED
57,0.5595740495533343,2024-04-20 01:43:22.737792,2024-04-20 01:43:31.084459,0 days 00:00:08.346667,128,64,0.0011518331253042675,65,2,COMPLETE
58,0.7125515330311478,2024-04-20 01:43:31.085035,2024-04-20 01:44:06.009204,0 days 00:00:34.924169,128,64,0.00034262167187278574,267,2,PRUNED
59,0.6313214775347552,2024-04-20 01:44:06.009639,2024-04-20 01:44:19.645107,0 days 00:00:13.635468,128,64,0.0033790117425460562,103,2,PRUNED
60,0.6101127526223264,2024-04-20 01:44:19.645360,2024-04-20 01:44:35.912388,0 days 00:00:16.267028,128,128,0.0014198624304739237,59,2,PRUNED
61,0.5574662767301332,2024-04-20 01:44:35.912636,2024-04-20 01:45:02.316550,0 days 00:00:26.403914,128,64,0.0002054162089241012,142,3,COMPLETE
62,0.5578903573435663,2024-04-20 01:45:02.316891,2024-04-20 01:45:29.586171,0 days 00:00:27.269280,128,64,0.00023102301966423155,145,3,COMPLETE
