number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_size,params_learning_rate,params_num_epochs,params_num_layers,state
38,1.960355447775481,2024-04-19 22:33:18.537800,2024-04-19 22:34:15.100077,0 days 00:00:56.562277,128,64,0.0005230951646521021,165,3,PRUNED
39,2.775152890887482,2024-04-19 22:34:15.100955,2024-04-19 22:34:55.254232,0 days 00:00:40.153277,128,64,0.005118454524922909,204,3,PRUNED
40,2.4976813783708787,2024-04-19 22:34:55.255285,2024-04-19 22:35:50.501740,0 days 00:00:55.246455,128,64,0.0010396759443254346,175,3,PRUNED
41,1.2526109625961608,2024-04-19 22:35:50.502693,2024-04-19 22:36:34.485080,0 days 00:00:43.982387,128,64,9.756929181486427e-05,165,3,COMPLETE
42,1.3257360201008273,2024-04-19 22:36:34.486071,2024-04-19 22:37:25.494575,0 days 00:00:51.008504,128,64,0.00018410796379467688,154,3,PRUNED
43,1.4655685116913144,2024-04-19 22:37:25.494975,2024-04-19 22:38:02.937850,0 days 00:00:37.442875,128,64,2.3706822367337398e-05,151,3,PRUNED
44,1.2414766486906845,2024-04-19 22:38:02.938699,2024-04-19 22:38:35.816968,0 days 00:00:32.878269,128,32,0.00022074090525573144,126,3,COMPLETE
45,1.2423660813577917,2024-04-19 22:38:35.817488,2024-04-19 22:39:14.204803,0 days 00:00:38.387315,128,64,0.0001012543158523884,178,3,COMPLETE
46,2.3559549435874487,2024-04-19 22:39:14.205857,2024-04-19 22:39:56.686744,0 days 00:00:42.480887,128,64,0.0004745908270333584,210,3,PRUNED
47,1.4319223193932842,2024-04-19 22:39:56.687685,2024-04-19 22:40:17.778325,0 days 00:00:21.090640,128,64,3.375938539354387e-05,109,3,PRUNED
48,1.249525644368683,2024-04-19 22:40:17.778557,2024-04-19 22:41:14.008504,0 days 00:00:56.229947,128,64,7.074933859455253e-05,188,3,COMPLETE
49,1.9674188138633373,2024-04-19 22:41:14.009564,2024-04-19 22:41:40.123464,0 days 00:00:26.113900,128,32,0.00122084197385486,198,3,PRUNED
50,1.5606427476895568,2024-04-19 22:41:40.123725,2024-04-19 22:42:23.035604,0 days 00:00:42.911879,128,64,1.2774565514772953e-05,224,3,PRUNED
51,1.2551550719122224,2024-04-19 22:42:23.036046,2024-04-19 22:42:38.051665,0 days 00:00:15.015619,128,32,0.0002172203922601142,125,3,COMPLETE
